focal_class,cluster,n_scenes,pct_of_class,top_co_classes,silhouette,k
lamp,3,67,12.1,"bed=1.00, curtain=0.04, book=0.03",0.63,10
lamp,4,78,14.0,"table=1.00, book=0.12, curtain=0.12",0.63,10
lamp,5,43,7.7,"sofa=1.00, pillow=1.00, picture=0.21",0.63,10
lamp,6,42,7.6,"sofa=1.00, table=0.33, book=0.05",0.63,10
lamp,7,22,4.0,"mirror=1.00, pillow=0.95, bed=0.95",0.63,10
lamp,8,18,3.2,"table=1.00, pillow=1.00, sofa=0.94",0.63,10
lamp,9,26,4.7,"table=1.00, bed=1.00, pillow=0.54",0.63,10
lamp,10,24,4.3,"picture=1.00, bed=0.92, pillow=0.62",0.63,10
sofa,1,109,13.7,"chair=1.00, table=1.00, picture=0.03",0.836,10
sofa,2,266,33.5,"picture=0.01, window=0.00, table=0.00",0.836,10
sofa,3,104,13.1,"table=1.00, picture=0.04, lamp=0.03",0.836,10
sofa,4,95,11.9,"chair=1.00, window=0.02, picture=0.02",0.836,10
sofa,5,65,8.2,"pillow=1.00, picture=0.09, table=0.00",0.836,10
sofa,6,37,4.7,"chair=1.00, pillow=1.00, table=0.49",0.836,10
sofa,7,49,6.2,"lamp=1.00, pillow=1.00, picture=0.18",0.836,10
sofa,8,22,2.8,"chair=1.00, table=1.00, lamp=1.00",0.836,10
sofa,9,29,3.6,"lamp=1.00, chair=0.34, picture=0.03",0.836,10
sofa,10,19,2.4,"table=1.00, pillow=1.00, picture=0.26",0.836,10
pillow,1,155,26.8,"bed=1.00, curtain=0.06, picture=0.05",0.778,10
pillow,2,95,16.4,"sofa=1.00, book=0.04, bed=0.03",0.778,10
pillow,3,160,27.7,"lamp=1.00, bed=0.94, curtain=0.05",0.778,10
pillow,4,15,2.6,"picture=1.00, sofa=0.87, curtain=0.13",0.778,10
pillow,5,48,8.3,"mirror=0.02, curtain=0.02, picture=0.00",0.778,10
pillow,6,41,7.1,"lamp=1.00, sofa=1.00, mirror=0.20",0.778,10
pillow,7,20,3.5,"lamp=1.00, mirror=1.00, bed=0.95",0.778,10
pillow,8,17,2.9,"picture=1.00, lamp=1.00, sofa=0.82",0.778,10
pillow,9,14,2.4,"picture=1.00, lamp=1.00, bed=1.00",0.778,10
pillow,10,13,2.2,"sofa=1.00, curtain=1.00, book=0.31",0.778,10
bed,1,393,46.3,"mirror=0.01, picture=0.00, lamp=0.00",0.943,10
bed,2,145,17.1,"lamp=1.00, pillow=1.00, picture=0.00",0.943,10
bed,3,141,16.6,"pillow=1.00, picture=0.00, lamp=0.00",0.943,10
bed,4,78,9.2,"lamp=1.00, curtain=0.05, mirror=0.04",0.943,10
bed,5,19,2.2,"curtain=1.00, picture=0.05, lamp=0.00",0.943,10
bed,6,14,1.7,"picture=1.00, lamp=0.79, curtain=0.07",0.943,10
bed,7,7,0.8,"lamp=1.00, curtain=1.00, pillow=1.00",0.943,10
bed,8,19,2.2,"lamp=1.00, mirror=1.00, pillow=1.00",0.943,10
bed,9,10,1.2,"pillow=1.00, curtain=1.00, picture=0.00",0.943,10
bed,10,22,2.6,"picture=1.00, pillow=1.00, lamp=0.64",0.943,10
monitor,1,169,38.4,"chair=1.00, desk=1.00, paper=0.01",0.895,10
monitor,2,60,13.6,"chair=1.00, desk=1.00, keyboard=1.00",0.895,10
monitor,3,90,20.5,"chair=1.00, paper=0.03, desk=0.00",0.895,10
monitor,4,12,2.7,"book=1.00, keyboard=1.00, chair=0.92",0.895,10
monitor,5,8,1.8,"keyboard=1.00, paper=0.12, book=0.12",0.895,10
monitor,6,37,8.4,"book=0.05, chair=0.00, desk=0.00",0.895,10
monitor,7,25,5.7,"chair=1.00, keyboard=1.00, paper=0.08",0.895,10
monitor,8,11,2.5,"desk=1.00, chair=0.00, book=0.00",0.895,10
monitor,9,13,3.0,"desk=1.00, keyboard=1.00, paper=0.08",0.895,10
monitor,10,15,3.4,"book=1.00, chair=0.87, desk=0.80",0.895,10
curtain,1,15,8.2,"pillow=1.00, lamp=0.00, bed=0.00",1.0,8
curtain,2,105,57.7,"lamp=0.00, pillow=0.00, bed=0.00",1.0,8
curtain,3,10,5.5,"lamp=1.00, pillow=1.00, bed=1.00",1.0,8
curtain,4,19,10.4,"bed=1.00, lamp=0.00, pillow=0.00",1.0,8
curtain,5,15,8.2,"lamp=1.00, pillow=0.00, bed=0.00",1.0,8
curtain,6,10,5.5,"pillow=1.00, bed=1.00, lamp=0.00",1.0,8
curtain,7,5,2.7,"lamp=1.00, bed=1.00, pillow=0.00",1.0,8
curtain,8,3,1.6,"lamp=1.00, pillow=1.00, bed=0.00",1.0,8
bottle,1,96,60.4,"counter=0.01, box=0.00, cabinet=0.00",0.865,10
bottle,2,11,6.9,"book=1.00, cup=0.09, cabinet=0.00",0.865,10
bottle,3,6,3.8,"box=1.00, book=1.00, cabinet=0.17",0.865,10
bottle,4,16,10.1,"box=1.00, bag=0.06, paper=0.06",0.865,10
bottle,5,8,5.0,"paper=1.00, cup=0.12, cabinet=0.00",0.865,10
bottle,6,6,3.8,"cabinet=1.00, box=0.00, book=0.00",0.865,10
bottle,7,5,3.1,"bag=1.00, book=0.40, paper=0.20",0.865,10
bottle,8,2,1.3,"box=1.00, book=1.00, cup=1.00",0.865,10
bottle,9,6,3.8,"cabinet=1.00, box=1.00, book=0.00",0.865,10
bottle,10,3,1.9,"cup=1.00, box=0.00, cabinet=0.00",0.865,10
bag,1,9,6.1,"cabinet=1.00, box=0.00, picture=0.00",0.919,10
bag,2,82,55.8,"cabinet=0.00, box=0.00, picture=0.00",0.919,10
bag,3,21,14.3,"box=1.00, bottle=0.05, paper=0.05",0.919,10
bag,4,16,10.9,"book=1.00, bottle=0.06, cabinet=0.00",0.919,10
bag,5,3,2.0,"bottle=1.00, box=0.00, cabinet=0.00",0.919,10
bag,6,6,4.1,"picture=1.00, paper=0.17, cabinet=0.00",0.919,10
bag,7,2,1.4,"picture=1.00, book=1.00, cabinet=0.00",0.919,10
bag,8,3,2.0,"cabinet=1.00, book=1.00, box=0.00",0.919,10
bag,9,3,2.0,"paper=1.00, book=0.67, bottle=0.33",0.919,10
bag,10,2,1.4,"box=1.00, book=1.00, cabinet=0.00",0.919,10
mirror,1,95,66.0,"lamp=0.00, pillow=0.00, bed=0.00",1.0,7
mirror,2,20,13.9,"lamp=1.00, pillow=1.00, bed=1.00",1.0,7
mirror,3,10,6.9,"lamp=1.00, pillow=0.00, bed=0.00",1.0,7
mirror,4,9,6.2,"lamp=1.00, pillow=1.00, bed=0.00",1.0,7
mirror,5,5,3.5,"bed=1.00, lamp=0.00, pillow=0.00",1.0,7
mirror,6,3,2.1,"lamp=1.00, bed=1.00, pillow=0.00",1.0,7
mirror,7,2,1.4,"pillow=1.00, lamp=0.00, bed=0.00",1.0,7
counter,1,174,87.0,"cabinet=0.00, bottle=0.00, bag=0.00",0.995,4
counter,2,23,11.5,"cabinet=1.00, bottle=0.00, bag=0.00",0.995,4
counter,3,1,0.5,"bag=1.00, cabinet=0.00, bottle=0.00",0.995,4
counter,4,2,1.0,"bottle=1.00, cabinet=0.00, bag=0.00",0.995,4
keyboard,1,84,28.0,"desk=0.00, paper=0.00, monitor=0.00",1.0,8
keyboard,2,75,25.0,"desk=1.00, monitor=1.00, paper=0.00",1.0,8
keyboard,3,85,28.3,"desk=1.00, paper=0.00, monitor=0.00",1.0,8
keyboard,4,32,10.7,"monitor=1.00, desk=0.00, paper=0.00",1.0,8
keyboard,5,7,2.3,"desk=1.00, paper=1.00, monitor=1.00",1.0,8
keyboard,6,7,2.3,"paper=1.00, desk=0.00, monitor=0.00",1.0,8
keyboard,7,6,2.0,"desk=1.00, paper=1.00, monitor=0.00",1.0,8
keyboard,8,4,1.3,"paper=1.00, monitor=1.00, desk=0.00",1.0,8
cup,1,83,77.6,"cabinet=0.00, paper=0.00, bottle=0.00",1.0,5
cup,2,10,9.3,"paper=1.00, cabinet=0.00, bottle=0.00",1.0,5
cup,3,6,5.6,"bottle=1.00, cabinet=0.00, paper=0.00",1.0,5
cup,4,6,5.6,"cabinet=1.00, paper=0.00, bottle=0.00",1.0,5
cup,5,2,1.9,"paper=1.00, bottle=1.00, cabinet=0.00",1.0,5
